Date,Video Views,Profile Views,Likes,Comments,Shares,Unique Viewers
2023-07-04,925,37,97,9,4,572
2023-07-05,910,23,85,4,5,618
2023-07-06,353,13,38,0,1,157
2023-07-07,203,20,7,0,2,94
2023-07-08,154,5,12,1,0,65
2023-07-09,284,7,10,0,0,51
2023-07-10,680566,32127,120949,5426,7547,412106
2023-07-11,638845,26925,114436,3648,6081,374983
2023-07-12,475002,18902,87416,1994,3944,276678
2023-07-13,377696,14377,65394,1528,3177,216125
2023-07-14,279102,9329,40883,1340,2560,170015
2023-07-15,307122,10456,49932,2395,4726,194864
2023-07-16,159435,5472,24321,1184,2339,104703
2023-07-17,128019,4077,15470,748,1572,84299
2023-07-18,108074,3386,12459,486,1330,72838
2023-07-19,85065,2266,8660,348,853,59172
2023-07-20,78311,2076,8036,311,772,55263
2023-07-21,146002,4518,17505,680,1449,98843
2023-07-22,145921,4788,16112,486,1118,91288
2023-07-23,208948,14960,16515,413,802,84510
2023-07-24,311691,17480,35933,773,1358,142146
2023-07-25,958675,29088,139146,2806,4531,599085
2023-07-26,796316,25451,117525,2231,4536,509996
2023-07-27,400171,12169,58134,1248,2416,255545
2023-07-28,333591,9930,48117,1005,1933,211767
2023-07-29,209928,6028,29138,634,1053,133532
2023-07-30,147260,4472,20355,441,751,89962
2023-07-31,125349,3660,16126,350,605,76293
2023-08-01,77275,2778,9105,246,379,42570
2023-08-02,58578,2174,5846,163,286,29226
2023-08-03,80761,2594,9705,226,370,45004
2023-08-04,110672,3259,13455,274,441,67672
2023-08-05,77345,2444,9938,198,375,43738
2023-08-06,51356,1674,5794,128,196,28621
2023-08-07,46865,1572,4591,121,175,25112
2023-08-08,48240,1535,4969,151,219,26783
2023-08-09,51965,1714,5674,188,253,28904
2023-08-10,46876,1512,4984,173,207,26287
2023-08-11,38859,1297,4026,134,180,22679
2023-08-12,35359,1419,3177,92,140,18466
2023-08-13,34820,1456,3067,110,140,16943
2023-08-14,37771,1586,3382,111,203,18733
2023-08-15,35078,1405,2479,71,91,18761
2023-08-16,42533,1374,4232,70,153,25804
2023-08-17,206334,3023,20717,239,454,163582
2023-08-18,97215,1524,7784,113,279,74980
2023-08-19,26478,819,2112,44,93,15301
2023-08-20,24871,784,2072,58,87,13625
2023-08-21,23618,752,2114,58,98,13013
2023-08-22,76141,2769,9053,271,456,43445
2023-08-23,57973,2016,6910,154,256,33085
2023-08-24,41144,1383,4731,122,181,23298
2023-08-25,28162,954,2956,68,135,15898
2023-08-26,26515,843,2544,67,95,14830
2023-08-27,23644,796,2345,72,115,13002
2023-08-28,23697,831,2147,98,80,12707
2023-08-29,20911,712,1799,76,71,11185
2023-08-30,28270,806,3015,105,102,17383
2023-08-31,23632,678,2395,85,95,14324
2023-09-01,18761,579,1723,41,67,10704