"Date","Video Views","Profile Views","Likes","Comments","Shares","Unique Viewers"
"2023-09-07","10284","356","816","23","40","6159"
"2023-09-08","10855","373","753","28","28","5593"
"2023-09-09","8992","344","693","20","31","5049"
"2023-09-10","9592","327","738","26","20","5329"
"2023-09-11","9809","317","793","20","36","5236"
"2023-09-12","19017","1330","1395","35","78","6844"
"2023-09-13","16351","834","1336","31","59","7190"
"2023-09-14","14534","686","1161","18","48","6427"
"2023-09-15","11508","529","855","23","36","5726"
"2023-09-16","11870","527","929","17","34","5920"
"2023-09-17","11816","516","934","24","56","5897"
"2023-09-18","12053","502","932","20","31","6168"
"2023-09-19","11991","547","1070","38","49","6239"
"2023-09-20","12805","555","1023","23","51","6100"
"2023-09-21","14215","620","1159","37","50","7109"
"2023-09-22","12268","460","1054","18","49","6592"
"2023-09-23","9858","365","817","18","20","5572"
"2023-09-24","9288","352","718","19","15","4813"
"2023-09-25","9285","324","651","22","34","4652"
"2023-09-26","10432","347","899","23","41","5960"
"2023-09-27","9392","331","725","30","37","5037"
"2023-09-28","7693","283","619","16","33","4423"
"2023-09-29","7427","221","617","14","18","4072"
"2023-09-30","7902","255","573","15","22","4316"
"2023-10-01","7747","212","614","15","21","4500"
"2023-10-02","14249","441","1415","55","44","8974"
"2023-10-03","14022","526","1476","38","27","8654"
"2023-10-04","12262","407","1114","32","34","7099"
"2023-10-05","74857","4328","5639","175","140","22131"
"2023-10-06","125149","3908","13704","447","338","70738"
"2023-10-07","115775","2443","14078","309","271","78886"
"2023-10-08","58052","1346","6359","136","123","38133"
"2023-10-09","33472","734","3490","75","101","21937"
"2023-10-10","12838","472","648","23","27","5392"
"2023-10-11","13414","577","780","36","34","5502"
"2023-10-12","13765","587","800","36","30","6127"
"2023-10-13","15469","730","764","15","23","5089"
"2023-10-14","9557","417","431","15","18","3773"
"2023-10-15","8493","435","285","11","14","3220"
"2023-10-16","7358","318","282","13","10","2859"
"2023-10-17","7672","341","339","11","32","3352"
"2023-10-18","15326","703","1049","45","37","8203"
"2023-10-19","13971","551","850","72","34","6643"
"2023-10-20","12282","801","720","45","40","4856"
"2023-10-21","12481","413","794","63","19","6228"
"2023-10-22","9358","343","675","34","18","4853"
"2023-10-23","8097","294","456","30","10","4200"
"2023-10-24","13450","618","1269","56","27","7028"
"2023-10-25","668298","17451","76328","967","847","413899"
"2023-10-26","367202","10729","40437","529","1093","231922"
"2023-10-27","160695","4665","16244","348","413","97433"
"2023-10-28","66844","1820","5968","105","161","39132"
"2023-10-29","95940","3302","9155","175","131","54765"
"2023-10-30","140582","4036","12629","171","213","84883"
"2023-10-31","63085","1687","5295","71","74","40399"
"2023-11-01","42487","1103","3086","71","48","26537"
"2023-11-02","45832","1095","3377","52","79","29495"
"2023-11-03","71426","1945","6739","186","225","44164"
"2023-11-04","52292","1247","4501","151","119","33925"
"2023-11-05","41360","1001","3238","87","120","26566"